success,rt,trial_type,trial_index,plugin_version,time_elapsed,random_id,condition,first_question_page,response,stimulus,item_type,question_order,file_name
NA,91459,survey-text,7,null,278586,p0g1u7gdoco,moral,nate,"{""Q0"":""I think it was about judging moral character based on two different reactions to the same scenario. making extrapolations about what I think of these non-existent people."",""Q1"":""Justin"",""Q2"":""Because I would consider both options before making a decision. I would do the same and return the wallet but it would for sure cross my mind and think about maybe take a 100 or 2."",""Q3"":""none""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p0g1u7gdoco_1732224051607.csv
TRUE,1993,fullscreen,0,null,2999,p1conchcl7u,immoral,justin,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p1conchcl7u_1732222441379.csv
NA,10707,survey-html-form,1,2.0.0,13708,p1conchcl7u,immoral,justin,"{""pid"":""porcupine"",""age"":""25"",""gender"":""Female""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p1conchcl7u_1732222441379.csv
NA,15839,html-button-response,2,2.0.0,29548,p1conchcl7u,immoral,justin,0,"<p>Welcome to the study! In this experiment, you will read about two individuals, Justin and Nate.</p>
                <p>After each story, you will be asked to evaluate their actions and character through a series of questions.</p> 
               <p>Please read the stories carefully and answer the questions to the best of your ability.</p>
               <p>Click 'Continue' to proceed.</p>",NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p1conchcl7u_1732222441379.csv
NA,26679,html-button-response,3,2.0.0,56228,p1conchcl7u,immoral,justin,0,"<p style='width:900px;margin: auto;'><b>Justin</b> and <b>Nate</b> were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars. Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each man considered whether he should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p> <br><br>  <p style='width:900px;margin: auto;'> <b>Justin</b> saw his decision as an easy one and was <i> able to decide quickly. He pocketed the money and drove off. </i></p> <br><br> <p style='width:900px;margin: auto;'> In contrast, <b>Nate</b> saw his decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in his car, <i> he too decided to pocket the money and drive off.</i></p>",immoral,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p1conchcl7u_1732222441379.csv
NA,14721,survey-likert,4,2.0.0,70950,p1conchcl7u,immoral,justin,"{""manipulation_check_nate"":3,""manipulation_check_justin"":5}",NA,NA,"[1,0]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p1conchcl7u_1732222441379.csv
NA,57319,survey-likert,5,2.0.0,128272,p1conchcl7u,immoral,justin,"{""justin-conflicted"":5,""justin-far"":0,""justin-principles"":1,""justin-standards"":0,""justin-reservations"":0,""justin-upset"":2,""justin-deep"":6,""justin-certain"":0,""justin-calm"":6}",NA,NA,"[0,3,4,6,1,8,5,2,7]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p1conchcl7u_1732222441379.csv
NA,63072,survey-likert,6,2.0.0,191345,p1conchcl7u,immoral,justin,"{""nate-certain"":3,""nate-reservations"":6,""nate-deep"":6,""nate-calm"":0,""nate-conflicted"":0,""nate-upset"":2,""nate-standards"":2,""nate-far"":1,""nate-principles"":3}",NA,NA,"[2,1,5,7,0,8,6,3,4]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p1conchcl7u_1732222441379.csv
NA,72210,survey-text,7,null,263560,p1conchcl7u,immoral,justin,"{""Q0"":""Good and mad morals and decision making"",""Q1"":""Nate"",""Q2"":""He thought through the decision but made the wrong choice - I don't completely relate because I wouldn't have drove away with the wallet. "",""Q3"":""NA""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p1conchcl7u_1732222441379.csv
TRUE,1142,fullscreen,0,null,2150,p3fxo0fe242,moral,nate,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p3fxo0fe242_1732221687490.csv
NA,47746,survey-html-form,1,2.0.0,49899,p3fxo0fe242,moral,nate,"{""pid"":""A17287899"",""age"":""3"",""gender"":""Female""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p3fxo0fe242_1732221687490.csv
NA,11228,html-button-response,2,2.0.0,61129,p3fxo0fe242,moral,nate,0,"<p>Welcome to the study! In this experiment, you will read about two individuals, Justin and Nate.</p>
                <p>After each story, you will be asked to evaluate their actions and character through a series of questions.</p> 
               <p>Please read the stories carefully and answer the questions to the best of your ability.</p>
               <p>Click 'Continue' to proceed.</p>",NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p3fxo0fe242_1732221687490.csv
NA,55766,html-button-response,3,2.0.0,116897,p3fxo0fe242,moral,nate,0,"<p style='width:900px;margin: auto;'><b>Justin</b> and <b>Nate</b> were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars. Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each man considered whether he should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p> <br><br> <p style='width:900px;margin: auto;'> <b>Justin</b> saw his decision as an easy one and was <i> able to decide quickly. He did not steal the money </i> and instead left the wallet with Customer Service.</p> <br><br>  <p style='width:900px;margin: auto;'> In contrast, <b>Nate</b> saw his decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in his car, <i> he too decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p>",moral,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p3fxo0fe242_1732221687490.csv
NA,13248,survey-likert,4,2.0.0,130148,p3fxo0fe242,moral,nate,"{""manipulation_check_nate"":2,""manipulation_check_justin"":6}",NA,NA,"[1,0]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p3fxo0fe242_1732221687490.csv
NA,85066,survey-likert,5,2.0.0,215219,p3fxo0fe242,moral,nate,"{""nate-reservations"":4,""nate-upset"":4,""nate-standards"":3,""nate-certain"":4,""nate-calm"":4,""nate-principles"":2,""nate-deep"":4,""nate-far"":4,""nate-conflicted"":4}",NA,NA,"[1,8,6,2,7,4,5,3,0]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p3fxo0fe242_1732221687490.csv
NA,58377,survey-likert,6,2.0.0,273600,p3fxo0fe242,moral,nate,"{""justin-calm"":5,""justin-deep"":5,""justin-reservations"":6,""justin-principles"":5,""justin-conflicted"":5,""justin-upset"":4,""justin-far"":2,""justin-standards"":5,""justin-certain"":6}",NA,NA,"[7,5,1,4,0,8,3,6,2]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p3fxo0fe242_1732221687490.csv
NA,58329,survey-text,7,null,331938,p3fxo0fe242,moral,nate,"{""Q0"":""Test individual's moral standards and principle."",""Q1"":""Justin"",""Q2"":""I would not take the wallet. "",""Q3"":""N/A""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p3fxo0fe242_1732221687490.csv
TRUE,2561,fullscreen,0,null,3569,p4jw266we7u,immoral,nate,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p4jw266we7u_1732222529915.csv
NA,12682,survey-html-form,1,2.0.0,16253,p4jw266we7u,immoral,nate,"{""pid"":""cricket"",""age"":""25"",""gender"":""Female""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p4jw266we7u_1732222529915.csv
NA,11238,html-button-response,2,2.0.0,27493,p4jw266we7u,immoral,nate,0,"<p>Welcome to the study! In this experiment, you will read about two individuals, Justin and Nate.</p>
                <p>After each story, you will be asked to evaluate their actions and character through a series of questions.</p> 
               <p>Please read the stories carefully and answer the questions to the best of your ability.</p>
               <p>Click 'Continue' to proceed.</p>",NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p4jw266we7u_1732222529915.csv
NA,27600,html-button-response,3,2.0.0,55094,p4jw266we7u,immoral,nate,0,"<p style='width:900px;margin: auto;'><b>Justin</b> and <b>Nate</b> were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars. Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each man considered whether he should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p> <br><br>  <p style='width:900px;margin: auto;'> <b>Justin</b> saw his decision as an easy one and was <i> able to decide quickly. He pocketed the money and drove off. </i></p> <br><br> <p style='width:900px;margin: auto;'> In contrast, <b>Nate</b> saw his decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in his car, <i> he too decided to pocket the money and drive off.</i></p>",immoral,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p4jw266we7u_1732222529915.csv
NA,19751,survey-likert,4,2.0.0,74847,p4jw266we7u,immoral,nate,"{""manipulation_check_nate"":6,""manipulation_check_justin"":1}",NA,NA,"[1,0]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p4jw266we7u_1732222529915.csv
NA,71085,survey-likert,5,2.0.0,145936,p4jw266we7u,immoral,nate,"{""nate-reservations"":5,""nate-conflicted"":1,""nate-standards"":2,""nate-deep"":6,""nate-far"":6,""nate-certain"":4,""nate-calm"":2,""nate-principles"":4,""nate-upset"":2}",NA,NA,"[1,0,6,5,3,2,7,4,8]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p4jw266we7u_1732222529915.csv
NA,93803,survey-likert,6,2.0.0,239741,p4jw266we7u,immoral,nate,"{""justin-certain"":0,""justin-reservations"":1,""justin-principles"":4,""justin-conflicted"":5,""justin-standards"":2,""justin-far"":1,""justin-deep"":4,""justin-calm"":6,""justin-upset"":0}",NA,NA,"[2,1,4,0,6,3,5,7,8]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p4jw266we7u_1732222529915.csv
NA,75450,survey-text,7,null,315200,p4jw266we7u,immoral,nate,"{""Q0"":""Evaluating what can suggest having good or bad morals"",""Q1"":""Nate"",""Q2"":""I usually weigh both options and choose the one I feel is best at the moment. "",""Q3"":""none ""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p4jw266we7u_1732222529915.csv
TRUE,1286,fullscreen,0,null,2294,p4ymvcm7n7k,immoral,nate,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p4ymvcm7n7k_1732221156694.csv
NA,8510,survey-html-form,1,2.0.0,10807,p4ymvcm7n7k,immoral,nate,"{""pid"":""1234"",""age"":""22"",""gender"":""Female""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p4ymvcm7n7k_1732221156694.csv
NA,1215,html-button-response,2,2.0.0,12024,p4ymvcm7n7k,immoral,nate,0,"<p>Welcome to the study! In this experiment, you will read about two individuals, Justin and Nate.</p>
                <p>After each story, you will be asked to evaluate their actions and character through a series of questions.</p> 
               <p>Please read the stories carefully and answer the questions to the best of your ability.</p>
               <p>Click 'Continue' to proceed.</p>",NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p4ymvcm7n7k_1732221156694.csv
NA,2347,html-button-response,3,2.0.0,14373,p4ymvcm7n7k,immoral,nate,0,"<p style='width:900px;margin: auto;'><b>Justin</b> and <b>Nate</b> were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars. Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each man considered whether he should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p> <br><br>  <p style='width:900px;margin: auto;'> <b>Justin</b> saw his decision as an easy one and was <i> able to decide quickly. He pocketed the money and drove off. </i></p> <br><br> <p style='width:900px;margin: auto;'> In contrast, <b>Nate</b> saw his decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in his car, <i> he too decided to pocket the money and drive off.</i></p>",immoral,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p4ymvcm7n7k_1732221156694.csv
NA,4765,survey-likert,4,2.0.0,19141,p4ymvcm7n7k,immoral,nate,"{""manipulation_check_justin"":6,""manipulation_check_nate"":6}",NA,NA,"[0,1]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p4ymvcm7n7k_1732221156694.csv
NA,10415,survey-likert,5,2.0.0,29560,p4ymvcm7n7k,immoral,nate,"{""nate-reservations"":6,""nate-certain"":6,""nate-conflicted"":6,""nate-standards"":6,""nate-deep"":6,""nate-principles"":6,""nate-calm"":6,""nate-upset"":6,""nate-far"":6}",NA,NA,"[1,2,0,6,5,4,7,8,3]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p4ymvcm7n7k_1732221156694.csv
NA,9246,survey-likert,6,2.0.0,38809,p4ymvcm7n7k,immoral,nate,"{""justin-principles"":6,""justin-far"":6,""justin-deep"":6,""justin-standards"":6,""justin-upset"":6,""justin-conflicted"":6,""justin-certain"":6,""justin-calm"":6,""justin-reservations"":6}",NA,NA,"[4,3,5,6,8,0,2,7,1]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p4ymvcm7n7k_1732221156694.csv
NA,2110,survey-text,7,null,40925,p4ymvcm7n7k,immoral,nate,"{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":""""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p4ymvcm7n7k_1732221156694.csv
TRUE,2687046,fullscreen,0,null,5422120,p5a3jfuhgna,immoral,nate,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p5a3jfuhgna_1732224963645.csv
NA,9094,survey-html-form,1,2.0.0,5431217,p5a3jfuhgna,immoral,nate,"{""pid"":""eagle"",""age"":""21"",""gender"":""Female""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p5a3jfuhgna_1732224963645.csv
NA,4732,html-button-response,2,2.0.0,5435951,p5a3jfuhgna,immoral,nate,0,"<p>Welcome to the study! In this experiment, you will read about two individuals, Justin and Nate.</p>
                <p>After each story, you will be asked to evaluate their actions and character through a series of questions.</p> 
               <p>Please read the stories carefully and answer the questions to the best of your ability.</p>
               <p>Click 'Continue' to proceed.</p>",NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p5a3jfuhgna_1732224963645.csv
NA,23580,html-button-response,3,2.0.0,5459534,p5a3jfuhgna,immoral,nate,0,"<p style='width:900px;margin: auto;'><b>Justin</b> and <b>Nate</b> were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars. Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each man considered whether he should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p> <br><br>  <p style='width:900px;margin: auto;'> <b>Justin</b> saw his decision as an easy one and was <i> able to decide quickly. He pocketed the money and drove off. </i></p> <br><br> <p style='width:900px;margin: auto;'> In contrast, <b>Nate</b> saw his decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in his car, <i> he too decided to pocket the money and drive off.</i></p>",immoral,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p5a3jfuhgna_1732224963645.csv
NA,7581,survey-likert,4,2.0.0,5467119,p5a3jfuhgna,immoral,nate,"{""manipulation_check_nate"":6,""manipulation_check_justin"":0}",NA,NA,"[1,0]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p5a3jfuhgna_1732224963645.csv
NA,47316,survey-likert,5,2.0.0,5514437,p5a3jfuhgna,immoral,nate,"{""nate-conflicted"":0,""nate-standards"":3,""nate-far"":3,""nate-calm"":1,""nate-deep"":3,""nate-reservations"":4,""nate-certain"":4,""nate-principles"":3,""nate-upset"":3}",NA,NA,"[0,6,3,7,5,1,2,4,8]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p5a3jfuhgna_1732224963645.csv
NA,30731,survey-likert,6,2.0.0,5545171,p5a3jfuhgna,immoral,nate,"{""justin-upset"":1,""justin-conflicted"":3,""justin-principles"":3,""justin-reservations"":2,""justin-certain"":2,""justin-standards"":3,""justin-deep"":3,""justin-calm"":4,""justin-far"":2}",NA,NA,"[8,0,4,1,2,6,5,7,3]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p5a3jfuhgna_1732224963645.csv
NA,73913,survey-text,7,null,5619084,p5a3jfuhgna,immoral,nate,"{""Q0"":""Does decision time affect other's views of someone's morals?"",""Q1"":""Probably Nate."",""Q2"":""I overthink things to a large degree and will think about them for a long time after."",""Q3"":""no""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p5a3jfuhgna_1732224963645.csv
TRUE,849,fullscreen,0,null,1864,p94n1ez6hg3,immoral,justin,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p94n1ez6hg3_1732489348764.csv
NA,6016,survey-html-form,1,2.0.0,7882,p94n1ez6hg3,immoral,justin,"{""pid"":""shark"",""age"":""21"",""gender"":""Male""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p94n1ez6hg3_1732489348764.csv
NA,821,html-button-response,2,2.0.0,8703,p94n1ez6hg3,immoral,justin,0,"<p>Welcome to the study! In this experiment, you will read about two individuals, Justin and Nate.</p>
                <p>After each story, you will be asked to evaluate their actions and character through a series of questions.</p> 
               <p>Please read the stories carefully and answer the questions to the best of your ability.</p>
               <p>Click 'Continue' to proceed.</p>",NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p94n1ez6hg3_1732489348764.csv
NA,7988,html-button-response,3,2.0.0,16693,p94n1ez6hg3,immoral,justin,0,"<p style='width:900px;margin: auto;'><b>Justin</b> and <b>Nate</b> were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars. Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each man considered whether he should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p> <br><br>  <p style='width:900px;margin: auto;'> <b>Justin</b> saw his decision as an easy one and was <i> able to decide quickly. He pocketed the money and drove off. </i></p> <br><br> <p style='width:900px;margin: auto;'> In contrast, <b>Nate</b> saw his decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in his car, <i> he too decided to pocket the money and drive off.</i></p>",immoral,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p94n1ez6hg3_1732489348764.csv
NA,11335,survey-likert,4,2.0.0,28029,p94n1ez6hg3,immoral,justin,"{""manipulation_check_justin"":6,""manipulation_check_nate"":0}",NA,NA,"[0,1]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p94n1ez6hg3_1732489348764.csv
NA,121627,survey-likert,5,2.0.0,149659,p94n1ez6hg3,immoral,justin,"{""justin-far"":0,""justin-upset"":0,""justin-reservations"":0,""justin-principles"":2,""justin-conflicted"":6,""justin-deep"":3,""justin-certain"":0,""justin-calm"":2,""justin-standards"":2}",NA,NA,"[3,8,1,4,0,5,2,7,6]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p94n1ez6hg3_1732489348764.csv
NA,71415,survey-likert,6,2.0.0,221078,p94n1ez6hg3,immoral,justin,"{""nate-far"":6,""nate-upset"":0,""nate-deep"":6,""nate-calm"":5,""nate-principles"":1,""nate-reservations"":5,""nate-conflicted"":1,""nate-standards"":2,""nate-certain"":3}",NA,NA,"[3,8,5,7,4,1,0,6,2]",/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p94n1ez6hg3_1732489348764.csv
NA,225742,survey-text,7,null,446826,p94n1ez6hg3,immoral,justin,"{""Q0"":""Does the context of an action affect our opinion on someone's character"",""Q1"":""Justin"",""Q2"":""Justin made a quick decision on a morally questionable decision. I think making a quick morally \""wrong\"" decision is more relatable than a making a drawn out morally \""wrong\"" decision."",""Q3"":""no""}",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p94n1ez6hg3_1732489348764.csv
TRUE,3318,fullscreen,0,null,4332,p9ftomqz24z,moral,justin,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_moral_character/analysis/../data/raw_data/p9ftomqz24z_1732221252909.csv
